_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.6,M39213,M1,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C4 PUTATIVE EARLY ERYTHROID COMMITMENT,,-4.6,4.3,5.6,30293,97,879,12,1.4,0.39,19|894|969|1359|2069|2624|3676|3949|6498|7704|10659|140876,ABCA1|CCND2|CD69|CPA3|EREG|GATA2|ITGA4|LDLR|SKIL|ZBTB16|CELF2|RIPOR3,-3.3,0
1,-4.6,M39210,M1,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C1 PUTATIVE MEGAKARYOCYTE PROGENITOR,,-4.6,4.2,5.5,30293,98,879,12,1.4,0.39,1191|2162|2615|2921|4638|4811|5874|6352|7057|7168|8654|80323,CLU|F13A1|LRRC32|CXCL3|MYLK|NID1|RAB27B|CCL5|THBS1|TPM1|PDE5A|CCDC68,-3.3,0
1,-4.5,M39102,M1,1,0,Cell Type Signatures,7,ZHONG PFC C3 ASTROCYTE,,-4.5,2.4,4.8,30293,389,879,27,3.1,0.58,288|1993|4008|4023|4684|4741|5137|5214|6352|6664|6752|7122|7857|8507|9256|9644|10512|10659|55638|58480|59283|80781|84502|115207|266727|440270|494470,ANK3|ELAVL2|LMO7|LPL|NCAM1|NEFM|PDE1C|PFKP|CCL5|SOX11|SSTR2|CLDN5|SCG2|ENC1|TSPOAP1|SH3PXD2A|SEMA3C|CELF2|SYBU|RHOU|CACNG8|COL18A1|JPH4|KCTD12|MDGA1|GOLGA8B|ARK2C,-3.3,0
1,-4.5,M39218,M1,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C9 GRANULOCYTE MACROPHAGE PROGENITOR,,-4.5,4.1,5.4,30293,100,879,12,1.4,0.39,301|1356|3490|3925|5216|6281|6303|7184|7431|8407|10376|116496,ANXA1|CP|IGFBP7|STMN1|PFN1|S100A10|SAT1|HSP90B1|VIM|TAGLN2|TUBA1B|NIBAN1,-3.2,0
1,-4.5,M40011,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC METALLOTHIONEIN CELLS,,-4.5,4.1,5.4,30293,100,879,12,1.4,0.39,60|768|1728|3485|4082|4495|4502|5874|6819|7103|8407|10397,ACTB|CA9|NQO1|IGFBP2|MARCKS|MT1G|MT2A|RAB27B|SULT1C2|TSPAN8|TAGLN2|NDRG1,-3.2,0
1,-4.5,M39311,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART 5TH WEEK ATRIAL CARDIOMYOCYTE,,-4.5,6.3,6,30293,44,879,8,0.91,0.32,730|1281|1462|2697|3910|6387|56944|80310,C7|COL3A1|VCAN|GJA1|LAMA4|CXCL12|OLFML3|PDGFD,-3.2,0
1,-4.4,M39286,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM DENDRITIC CELLS,,-4.4,3.8,5.3,30293,117,879,13,1.5,0.41,60|597|1462|1843|2069|2512|3122|3576|3689|5329|6648|23406|26253,ACTB|BCL2A1|VCAN|DUSP1|EREG|FTL|HLA-DRA|CXCL8|ITGB2|PLAUR|SOD2|COTL1|CLEC4E,-3.2,0
1,-4.4,M41706,M1,1,0,Cell Type Signatures,7,FAN OVARY CL4 T LYMPHOCYTE NK CELL 1,,-4.4,2.8,4.9,30293,246,879,20,2.3,0.5,301|864|969|3689|3939|5216|5230|6277|6281|6352|7040|7852|8407|8519|8638|9516|10376|23406|51142|54541,ANXA1|RUNX3|CD69|ITGB2|LDHA|PFN1|PGK1|S100A6|S100A10|CCL5|TGFB1|CXCR4|TAGLN2|IFITM1|OASL|LITAF|TUBA1B|COTL1|CHCHD2|DDIT4,-3.2,0
1,-4.4,M39224,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C5 PROXIMAL TUBULE EPITHELIAL CELLS STRESS INFLAM,,-4.4,2.3,4.7,30293,417,879,28,3.2,0.59,445|861|2651|4045|4129|4311|5033|5125|5144|7704|8470|8829|11095|22874|23092|26011|26047|50937|54477|55603|64478|64787|79658|79772|134147|153020|220441|389432,ASS1|RUNX1|GCNT2|LSAMP|MAOB|MME|P4HA1|PCSK5|PDE4D|ZBTB16|SORBS2|NRP1|ADAMTS8|PLEKHA6|ARHGAP26|TENM4|CNTNAP2|CDON|PLEKHA5|TENT5A|CSMD1|EPS8L2|ARHGAP10|MCTP1|CMBL|RASGEF1B|RNF152|SAMD5,-3.2,0
1,-4.4,M40283,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA VASCULAR ENDOTHELIAL CELLS,,-4.4,4.1,5.3,30293,102,879,12,1.4,0.39,1003|1012|4223|4826|4858|5125|5137|7010|7075|7122|23462|64123,CDH5|CDH13|MEOX2|NNAT|NOVA2|PCSK5|PDE1C|TEK|TIE1|CLDN5|HEY1|ADGRL4,-3.2,0
1,-4.4,M41660,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 2 CELL,,-4.4,3.5,5.1,30293,136,879,14,1.6,0.42,718|1440|1910|2512|2921|4023|4837|6004|6319|6648|6781|64399|84152|387763,C3|CSF3|EDNRB|FTL|CXCL3|LPL|NNMT|RGS16|SCD|SOD2|STC1|HHIP|PPP1R1B|C11orf96,-3.1,0
1,-4.4,M40314,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL THYMUS ANTIGEN PRESENTING CELLS,,-4.4,3.2,5,30293,172,879,16,1.8,0.45,1240|2162|3055|3122|3620|4318|5329|5996|6624|7185|9123|11031|28959|56833|64386|153020,CMKLR1|F13A1|HCK|HLA-DRA|IDO1|MMP9|PLAUR|RGS1|FSCN1|TRAF1|SLC16A3|RAB31|TMEM176B|SLAMF8|MMP25|RASGEF1B,-3.1,0
1,-4.3,M39306,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C9 B T CELL,,-4.3,3.3,5,30293,155,879,15,1.7,0.44,864|969|3575|3689|3726|4050|5996|6352|6515|7852|8519|9516|10123|10628|23406,RUNX3|CD69|IL7R|ITGB2|JUNB|LTB|RGS1|CCL5|SLC2A3|CXCR4|IFITM1|LITAF|ARL4C|TXNIP|COTL1,-3.1,0
