_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,GO:0030947,regulation of vascular endothelial growth factor receptor signaling pathway,M00000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-15,0,0,0,R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,GO:0033089,positive regulation of T cell differentiation in thymus,M00000100,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,0,0,GO:0030856,regulation of epithelial cell differentiation,M00010000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-5.3,0,GO:0061077,chaperone-mediated protein folding,M00000010,1,0
1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,GO:0001933,negative regulation of protein phosphorylation,M10000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,WP3611,Photodynamic therapy induced AP 1 survival signaling,M00001000,1,0
1,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,R-HSA-111885,Opioid Signalling,M10000000,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,0,0,GO:0099536,synaptic signaling,M00010000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.8,0,0,GO:0051384,response to glucocorticoid,M00000100,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,hsa00240,Pyrimidine metabolism,M00000001,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-12,0,0,0,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,WP2855,Dopaminergic neurogenesis,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,0,GO:1905952,regulation of lipid localization,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,0,GO:0008015,blood circulation,M01000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.6,0,hsa01210,2-Oxocarboxylic acid metabolism,M00000010,1,0
0,1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,GO:0030837,negative regulation of actin filament polymerization,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-18,0,0,0,hsa03050,Proteasome,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,GO:0097746,blood vessel diameter maintenance,M01000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.4,0,0,GO:0014015,positive regulation of gliogenesis,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-15,0,0,0,R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-15,0,0,0,R-HSA-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,M00001000,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.8,GO:0006259,DNA metabolic process,M00000001,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3,GO:0072528,pyrimidine-containing compound biosynthetic process,M00000001,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,0,GO:0034446,substrate adhesion-dependent cell spreading,M00001000,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.6,GO:0046051,UTP metabolic process,M00000001,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.1,R-HSA-5654738,Signaling by FGFR2,M00000001,1,0
0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,M00100000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.9,0,0,GO:0001774,microglial cell activation,M00000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,GO:0006865,amino acid transport,M00000010,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-8.2,0,0,0,R-HSA-5619115,Disorders of transmembrane transporters,M00001000,1,0
0,0,1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,GO:0060037,pharyngeal system development,M00100000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.4,0,0,GO:0006970,response to osmotic stress,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,0,hsa04215,Apoptosis - multiple species,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,GO:0015908,fatty acid transport,M01000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,GO:0097581,lamellipodium organization,M00000010,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,0,GO:0072331,signal transduction by p53 class mediator,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,WP5285,Immune infiltration in pancreatic cancer,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.1,0,0,GO:0030318,melanocyte differentiation,M00000100,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.2,R-HSA-162599,Late Phase of HIV Life Cycle,M00000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,0,0,R-HSA-372790,Signaling by GPCR,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.4,0,0,WP5395,Glycosaminoglycan synthesis in fibroblasts,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-13,0,0,0,WP4880,Host pathogen interaction of human coronaviruses interferon induction,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,WP2328,Allograft rejection,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,0,GO:1900119,positive regulation of execution phase of apoptosis,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,WP3893,Development and heterogeneity of the ILC family,M00000100,1,0
1,0,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,0,WP4721,Eicosanoid metabolism via lipooxygenases LOX,M10000000,1,0
