_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,R-HSA-389977,Post-chaperonin tubulin folding pathway,M00000100,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,0,0,GO:0032648,regulation of interferon-beta production,M00010000,1,0
0,1,0,0,0,0,0,0,0,-4.8,0,0,0,0,0,0,GO:0015718,monocarboxylic acid transport,M01000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand,M00000100,1,0
0,0,1,0,0,0,0,0,0,0,-2,0,0,0,0,0,GO:0051170,import into nucleus,M00100000,1,0
0,0,1,0,0,0,0,0,0,0,-2.2,0,0,0,0,0,GO:0032984,protein-containing complex disassembly,M00100000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,GO:0006699,bile acid biosynthetic process,M00000010,1,0
0,1,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,GO:1903725,regulation of phospholipid metabolic process,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,GO:0010935,regulation of macrophage cytokine production,M00001000,1,0
0,1,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,WP5109,Familial hyperlipidemia type 2,M01000000,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,R-HSA-9013405,RHOD GTPase cycle,M00010000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.7,0,0,GO:1904951,positive regulation of establishment of protein localization,M00000100,1,0
0,0,0,1,0,0,0,0,0,0,0,-3.4,0,0,0,0,GO:0070498,interleukin-1-mediated signaling pathway,M00010000,1,0
0,1,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,hsa04979,Cholesterol metabolism,M01000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,GO:0009952,anterior/posterior pattern specification,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.9,0,0,0,M266,PID NCADHERIN PATHWAY,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,GO:0010669,epithelial structure maintenance,M01000000,1,0
0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,GO:0022406,membrane docking,M00100000,1,0
0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,0,GO:0003333,amino acid transmembrane transport,M01000000,1,0
0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,GO:0048813,dendrite morphogenesis,M00100000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,GO:0006940,regulation of smooth muscle contraction,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-5.6,0,0,0,R-HSA-75205,Dissolution of Fibrin Clot,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,GO:0071248,cellular response to metal ion,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.1,0,0,0,WP4879,Overlap between signal transduction pathways contributing to LMNA laminopathies,M00001000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,0,WP4521,Glycosylation and related congenital defects,M00000010,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.4,0,0,0,R-HSA-6802957,Oncogenic MAPK signaling,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,R-HSA-9692914,SARS-CoV-1-host interactions,M00000100,1,0
0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,GO:0061037,negative regulation of cartilage development,M00100000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.4,0,0,GO:0034762,regulation of transmembrane transport,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.8,0,0,GO:0051258,protein polymerization,M00000100,1,0
0,0,1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,WP26,S1P receptor signal transduction,M00100000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.4,0,0,GO:0032740,positive regulation of interleukin-17 production,M00000100,1,0
0,0,1,0,0,0,0,0,0,0,-3.2,0,0,0,0,0,R-HSA-9707564,Cytoprotection by HMOX1,M00100000,1,0
0,1,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,GO:0060349,bone morphogenesis,M01000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,GO:0032649,regulation of type II interferon production,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.8,0,0,GO:0007519,skeletal muscle tissue development,M00000100,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.1,GO:2000785,regulation of autophagosome assembly,M00000001,1,0
0,0,0,1,0,0,0,0,0,0,0,-3.6,0,0,0,0,GO:0002262,myeloid cell homeostasis,M00010000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,GO:0043489,RNA stabilization,M00000010,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.7,0,0,GO:0002708,positive regulation of lymphocyte mediated immunity,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.1,0,0,0,GO:0042633,hair cycle,M00001000,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,hsa04962,Vasopressin-regulated water reabsorption,M00010000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-6.4,0,0,0,hsa04218,Cellular senescence,M00001000,1,0
1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,GO:1901661,quinone metabolic process,M10000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,0,0,GO:0051155,positive regulation of striated muscle cell differentiation,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,WP5205,Clock controlled autophagy in bone metabolism,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,GO:0031069,hair follicle morphogenesis,M00000100,1,0
1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,GO:1901292,nucleoside phosphate catabolic process,M10000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,0,0,GO:0035313,"wound healing, spreading of epidermal cells",M00000100,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.7,0,0,0,0,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,M00010000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.7,0,0,0,GO:0003230,cardiac atrium development,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.4,0,0,GO:0050671,positive regulation of lymphocyte proliferation,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,GO:0035088,establishment or maintenance of apical/basal cell polarity,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,0,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,R-HSA-71403,Citric acid cycle (TCA cycle),M01000000,1,0
0,0,1,0,0,0,0,0,0,0,-3,0,0,0,0,0,GO:0006337,nucleosome disassembly,M00100000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,0,GO:0010631,epithelial cell migration,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,0,GO:0051052,regulation of DNA metabolic process,M00001000,1,0
0,1,0,0,0,0,0,0,0,-4.8,0,0,0,0,0,0,GO:0008299,isoprenoid biosynthetic process,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,GO:0060323,head morphogenesis,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,GO:0060326,cell chemotaxis,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,0,M13968,BIOCARTA HIVNEF PATHWAY,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,0,0,GO:1901988,negative regulation of cell cycle phase transition,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,GO:0032729,positive regulation of type II interferon production,M00000100,1,0
0,0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,GO:2001135,regulation of endocytic recycling,M00010000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,GO:0060538,skeletal muscle organ development,M00000100,1,0
0,0,0,1,0,0,0,0,0,0,0,-2,0,0,0,0,GO:2001056,positive regulation of cysteine-type endopeptidase activity,M00010000,1,0
0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,0,M207,PID RETINOIC ACID PATHWAY,M00100000,1,0
