_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,0,0,1,0,0,0,-3.8,0,0,0,-2.2,0,0,0,hsa04928,"Parathyroid hormone synthesis, secretion and action",M10001000,2,0
1,0,0,0,0,0,0,1,-2.6,0,0,0,0,0,0,-2.6,GO:0008543,fibroblast growth factor receptor signaling pathway,M10000001,2,0
1,0,1,0,0,0,0,0,-2.5,0,-2.4,0,0,0,0,0,R-HSA-9006931,Signaling by Nuclear Receptors,M10100000,2,0
0,0,0,1,1,0,0,0,0,0,0,-3.8,-2.3,0,0,0,WP382,MAPK signaling pathway,M00011000,2,0
0,1,1,0,0,0,0,0,0,-2.1,-3.6,0,0,0,0,0,GO:0022604,regulation of cell morphogenesis,M01100000,2,0
0,0,0,1,1,0,0,0,0,0,0,-2.2,-2.1,0,0,0,GO:0051893,regulation of focal adhesion assembly,M00011000,2,0
0,0,0,0,1,0,1,0,0,0,0,0,-12,0,-2.2,0,hsa05417,Lipid and atherosclerosis,M00001010,2,0
0,0,0,1,0,1,0,0,0,0,0,-2.9,0,-3,0,0,GO:2000406,positive regulation of T cell migration,M00010100,2,0
0,0,1,1,0,0,0,0,0,0,-2.7,-2.2,0,0,0,0,GO:0002040,sprouting angiogenesis,M00110000,2,0
1,0,0,0,0,0,1,0,-4.5,0,0,0,0,0,-2.3,0,GO:0009062,fatty acid catabolic process,M10000010,2,0
0,0,0,1,1,0,0,0,0,0,0,-2.1,-2,0,0,0,GO:0150116,regulation of cell-substrate junction organization,M00011000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-14,-5.9,0,0,M5932,HALLMARK INFLAMMATORY RESPONSE,M00001100,2,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,-3.1,-2.6,GO:0006612,protein targeting to membrane,M00000011,2,0
0,1,0,0,0,0,1,0,0,-7.6,0,0,0,0,-2.8,0,GO:0006869,lipid transport,M01000010,2,0
0,0,1,0,1,0,0,0,0,0,-2.2,0,-3.7,0,0,0,WP5353,Macrophage stimulating protein MSP signaling network map,M00101000,2,0
0,0,0,0,1,0,0,1,0,0,0,0,-2.2,0,0,-3,hsa04670,Leukocyte transendothelial migration,M00001001,2,0
0,0,0,0,1,0,0,1,0,0,0,0,-2.1,0,0,-2.1,R-HSA-2132295,MHC class II antigen presentation,M00001001,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-3.5,-2.4,0,0,GO:0031334,positive regulation of protein-containing complex assembly,M00001100,2,0
0,0,0,0,1,0,0,1,0,0,0,0,-3.1,0,0,-2.6,GO:0031342,negative regulation of cell killing,M00001001,2,0
0,0,1,1,0,0,0,0,0,0,-3.2,-3.8,0,0,0,0,GO:0072175,epithelial tube formation,M00110000,2,0
0,1,0,0,0,0,1,0,0,-4,0,0,0,0,-2.1,0,GO:0042572,retinol metabolic process,M01000010,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-5.4,-2,0,0,GO:0032944,regulation of mononuclear cell proliferation,M00001100,2,0
1,0,0,0,0,0,0,1,-2.1,0,0,0,0,0,0,-3.1,GO:0071364,cellular response to epidermal growth factor stimulus,M10000001,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-6.3,-2.5,0,0,hsa04062,Chemokine signaling pathway,M00001100,2,0
0,1,0,0,0,0,1,0,0,-2.3,0,0,0,0,-5.1,0,GO:1901617,organic hydroxy compound biosynthetic process,M01000010,2,0
0,0,0,1,1,0,0,0,0,0,0,-2.4,-2.3,0,0,0,GO:0035567,non-canonical Wnt signaling pathway,M00011000,2,0
1,0,0,0,1,0,0,0,-3.3,0,0,0,-3.3,0,0,0,hsa04933,AGE-RAGE signaling pathway in diabetic complications,M10001000,2,0
1,0,0,0,1,0,0,0,-2.1,0,0,0,-3.4,0,0,0,WP4172,PI3K Akt signaling pathway,M10001000,2,0
0,0,0,1,1,0,0,0,0,0,0,-2.3,-3.1,0,0,0,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,M00011000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-7,-3.3,0,0,GO:0002221,pattern recognition receptor signaling pathway,M00001100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-3.6,-2.4,0,0,hsa05202,Transcriptional misregulation in cancer,M00001100,2,0
0,0,0,1,1,0,0,0,0,0,0,-3.2,-2.1,0,0,0,GO:0010812,negative regulation of cell-substrate adhesion,M00011000,2,0
0,0,0,0,1,0,0,1,0,0,0,0,-7,0,0,-3,R-HSA-9705683,SARS-CoV-2-host interactions,M00001001,2,0
1,1,0,0,0,0,0,0,-3,-2.4,0,0,0,0,0,0,GO:0043269,regulation of monoatomic ion transport,M11000000,2,0
1,0,1,0,0,0,0,0,-3,0,-3,0,0,0,0,0,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M10100000,2,0
1,0,0,0,0,0,1,0,-2.5,0,0,0,0,0,-2.2,0,GO:0006639,acylglycerol metabolic process,M10000010,2,0
0,0,1,1,0,0,0,0,0,0,-3.5,-3.7,0,0,0,0,GO:0001843,neural tube closure,M00110000,2,0
